codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
101;10090;TOSCANELLA;VIA EMILIA fr 95;TOSCANELLA;710118;918058;44,383585;11,636745;514
101;10097;PIRO PIRO;VIA EMILIA FR 6;DOZZA;710951;917633;44,379521;11,647019;514
101;11809;SCANIA ALBERTAZZI;VIA SCANIA 186;CASTEL SAN PIETRO TERME;706026;919629;44,398888;11,58605;513
101;110103;IMOLA GALASSI;VIA EMILIA 30 MT. DOPO VIA RONCAGLIE;IMOLA;713973;916116;44,364993;11,68429;510
101;110106;FORNACE;VIALE AMENDOLA 169;IMOLA;714448;915905;44,362956;11,690158;510
101;110109;AMENDOLA;VIALE AMENDOLA 34;IMOLA;715341;915438;44,358492;11,701159;510
101;131137;IMOLA VILLA CLELIA;VIA VILLA CLELIA 28;IMOLA;715058;915170;44,356165;11,697501;510
101;132101;IMOLA SAFFI CUP;V.LE SAFFI 44;IMOLA;715808;914867;44,353218;11,706776;510
103;11505;CASTEL S.PIETRO T. FRATI;VIA VIARA FR CABINA ENEL;CASTEL SAN PIETRO TERME;706153;919267;44,395596;11,587499;513
103;11518;CASTEL SAN PIETRO CASA CA;VIA VIARA BV LA POIA;CASTEL SAN PIETRO TERME;705289;916214;44,368383;11,575457;513
